version,N,time (s)
Python,100, 0.22
Python,200, 0.88
Python,300, 1.97
Python,500, 5.43
Python,700, 8.09
Python,1000,18.83
Python,1500,33.83
Python,2000,60.06
Python,2500,93.87
Python,3000,135.20
Python,3500,183.87
Python,4000,239.51
Python,4500,303.35
Python,5000,25467.10
Python,5500,458.02
Python,6000,544.41
Python,6500,644.10
Python,7000,741.41
Cython,100, 0.00
Cython,200, 0.01
Cython,300, 0.02
Cython,500, 0.06
Cython,700, 0.13
Cython,1000, 0.26
Cython,1500, 0.57
Cython,2000, 1.00
Cython,2500, 1.59
Cython,3000, 2.19
Cython,3500, 3.11
Cython,4000, 3.95
Cython,4500, 5.16
Cython,5000, 6.67
Cython,5500, 7.68
Cython,6000, 9.42
Cython,6500,10.69
Cython,7000,12.38
