version,N,time (s)
Python,100,4.99
Python,200,4.33
Python,300,3.24
Python,500,0.22
Python,700,2.88
Python,1000,13.62
Python,1500,28.62
Python,2000,54.85
Python,2500,88.66
Python,3000,129.99
Python,3500,178.66
Python,4000,234.3
Python,4500,298.14
Python,5000,361.89
Python,5500,452.81
Python,6000,539.2
Python,6500,638.89
Python,7000,736.2
Cython,100,0.13
Cython,200,0.12
Cython,300,0.11
Cython,500,0.07
Cython,700,0.0
Cython,1000,0.13
Cython,1500,0.44
Cython,2000,0.87
Cython,2500,1.46
Cython,3000,2.06
Cython,3500,2.98
Cython,4000,3.82
Cython,4500,5.03
Cython,5000,6.54
Cython,5500,7.55
Cython,6000,9.29
Cython,6500,10.56
Cython,7000,12.25
